apc 00;apc 10;apc 11;kras 00;kras 10;kras 11;p53 00;p53 10;p53 11
0.5344;0.4656;0;0.068;0.932;0;0.5148;0.4852;0
0.5356;0.4644;0;0.0652;0.9348;0;0.5124;0.4876;0
0.5372;0.4628;0;0.066;0.934;0;0.5132;0.4868;0
0.5392;0.4608;0;0.0648;0.9352;0;0.5076;0.4924;0
0.544;0.456;0;0.0648;0.9352;0;0.5036;0.4964;0
0.5476;0.4524;0;0.0636;0.9364;0;0.5036;0.4964;0
0.552;0.448;0;0.0616;0.9384;0;0.496;0.504;0
0.5584;0.4416;0;0.06;0.94;0;0.4896;0.5104;0
0.5612;0.4388;0;0.0584;0.9416;0;0.49;0.51;0
0.564;0.436;0;0.0584;0.9416;0;0.4908;0.5092;0
0.5696;0.4304;0;0.0584;0.9416;0;0.4932;0.5068;0
0.5736;0.4264;0;0.0604;0.9396;0;0.4944;0.5056;0
0.566;0.434;0;0.0588;0.9412;0;0.4904;0.5096;0
0.5728;0.4272;0;0.0572;0.9428;0;0.49;0.51;0
0.5732;0.4268;0;0.0564;0.9436;0;0.4936;0.5064;0
0.5676;0.4324;0;0.056;0.944;0;0.4888;0.5112;0
0.5676;0.4324;0;0.0556;0.9444;0;0.4856;0.5144;0
0.574;0.426;0;0.0556;0.9444;0;0.4844;0.5156;0
0.57;0.43;0;0.0556;0.9444;0;0.4816;0.5184;0
0.566;0.434;0;0.0568;0.9432;0;0.4796;0.5204;0
0.568;0.432;0;0.0564;0.9436;0;0.4768;0.5232;0
0.5688;0.4312;0;0.0584;0.9416;0;0.4736;0.5264;0
0.5592;0.4408;0;0.056;0.944;0;0.4756;0.5244;0
0.5592;0.4408;0;0.0584;0.9416;0;0.4752;0.5248;0
0.5564;0.4436;0;0.0576;0.9424;0;0.4776;0.5224;0
0.5572;0.4428;0;0.0592;0.9408;0;0.4788;0.5212;0
0.552;0.448;0;0.0592;0.9408;0;0.4816;0.5184;0
0.5484;0.4516;0;0.0604;0.9396;0;0.4804;0.5196;0
0.5428;0.4572;0;0.058;0.942;0;0.484;0.516;0
0.5396;0.4604;0;0.0584;0.9416;0;0.4792;0.5208;0
0.5376;0.4624;0;0.0604;0.9396;0;0.4856;0.5144;0
0.538;0.462;0;0.0624;0.9376;0;0.488;0.512;0
0.5424;0.4576;0;0.0616;0.9384;0;0.4912;0.5088;0
0.5416;0.4584;0;0.0608;0.9392;0;0.4924;0.5076;0
0.5464;0.4536;0;0.062;0.938;0;0.4884;0.5116;0
0.5516;0.4484;0;0.0632;0.9368;0;0.492;0.508;0
0.5536;0.4464;0;0.066;0.934;0;0.4992;0.5008;0
0.55;0.45;0;0.0668;0.9332;0;0.4928;0.5072;0
0.5476;0.4524;0;0.0704;0.9296;0;0.4916;0.5084;0
0.5456;0.4544;0;0.0712;0.9288;0;0.4844;0.5156;0
0.548;0.452;0;0.0688;0.9312;0;0.4816;0.5184;0
0.552;0.448;0;0.0692;0.9308;0;0.474;0.526;0
0.5448;0.4552;0;0.0688;0.9312;0;0.4696;0.5304;0
0.5444;0.4556;0;0.0692;0.9308;0;0.4668;0.5332;0
0.5476;0.4524;0;0.0676;0.9324;0;0.4616;0.5384;0
0.5512;0.4488;0;0.0668;0.9332;0;0.4612;0.5388;0
0.5524;0.4476;0;0.0692;0.9308;0;0.4604;0.5396;0
0.5528;0.4472;0;0.0716;0.9284;0;0.468;0.532;0
0.554;0.446;0;0.0724;0.9276;0;0.4744;0.5256;0
0.5556;0.4444;0;0.0728;0.9272;0;0.4764;0.5236;0
0.5608;0.4392;0;0.0732;0.9268;0;0.4776;0.5224;0
0.5596;0.4404;0;0.0724;0.9276;0;0.4824;0.5176;0
0.5672;0.4328;0;0.0736;0.9264;0;0.4872;0.5128;0
0.5704;0.4296;0;0.072;0.928;0;0.4936;0.5064;0
0.5692;0.4308;0;0.0704;0.9296;0;0.4916;0.5084;0
0.5664;0.4336;0;0.07;0.93;0;0.5;0.5;0
0.5672;0.4328;0;0.0672;0.9328;0;0.5048;0.4952;0
0.5708;0.4292;0;0.0644;0.9356;0;0.5116;0.4884;0
0.5748;0.4252;0;0.062;0.938;0;0.5164;0.4836;0
0.5728;0.4272;0;0.0636;0.9364;0;0.5192;0.4808;0
0.5712;0.4288;0;0.064;0.936;0;0.516;0.484;0
0.566;0.434;0;0.0628;0.9372;0;0.514;0.486;0
0.5696;0.4304;0;0.0628;0.9372;0;0.5096;0.4904;0
0.5636;0.4364;0;0.0636;0.9364;0;0.5132;0.4868;0
0.5676;0.4324;0;0.0616;0.9384;0;0.5112;0.4888;0
0.572;0.428;0;0.0624;0.9376;0;0.5108;0.4892;0
0.5712;0.4288;0;0.064;0.936;0;0.5176;0.4824;0
0.5692;0.4308;0;0.0656;0.9344;0;0.52;0.48;0
0.5644;0.4356;0;0.0676;0.9324;0;0.5164;0.4836;0
0.5608;0.4392;0;0.068;0.932;0;0.518;0.482;0
0.5572;0.4428;0;0.0676;0.9324;0;0.5132;0.4868;0
0.5584;0.4416;0;0.0676;0.9324;0;0.5144;0.4856;0
0.5544;0.4456;0;0.0696;0.9304;0;0.5164;0.4836;0
0.5544;0.4456;0;0.07;0.93;0;0.518;0.482;0
0.5572;0.4428;0;0.07;0.93;0;0.518;0.482;0
0.5656;0.4344;0;0.0688;0.9312;0;0.512;0.488;0
0.562;0.438;0;0.0692;0.9308;0;0.5116;0.4884;0
0.5688;0.4312;0;0.0684;0.9316;0;0.5124;0.4876;0
0.5668;0.4332;0;0.0668;0.9332;0;0.5076;0.4924;0
0.5652;0.4348;0;0.066;0.934;0;0.5084;0.4916;0
0.5644;0.4356;0;0.0652;0.9348;0;0.5032;0.4968;0
0.5656;0.4344;0;0.0668;0.9332;0;0.5008;0.4992;0
0.5612;0.4388;0;0.0684;0.9316;0;0.4992;0.5008;0
0.5588;0.4412;0;0.07;0.93;0;0.4976;0.5024;0
0.5556;0.4444;0;0.07;0.93;0;0.5032;0.4968;0
0.5576;0.4424;0;0.0672;0.9328;0;0.5012;0.4988;0
0.556;0.444;0;0.0668;0.9332;0;0.4968;0.5032;0
0.5536;0.4464;0;0.0644;0.9356;0;0.4948;0.5052;0
0.5536;0.4464;0;0.0636;0.9364;0;0.4956;0.5044;0
0.5536;0.4464;0;0.0648;0.9352;0;0.4968;0.5032;0
0.5572;0.4428;0;0.0656;0.9344;0;0.4948;0.5052;0
0.552;0.448;0;0.0664;0.9336;0;0.498;0.502;0
0.548;0.452;0;0.0676;0.9324;0;0.4992;0.5008;0
0.5528;0.4472;0;0.0664;0.9336;0;0.502;0.498;0
0.5544;0.4456;0;0.0664;0.9336;0;0.5072;0.4928;0
0.5536;0.4464;0;0.0652;0.9348;0;0.5104;0.4896;0
0.5596;0.4404;0;0.0672;0.9328;0;0.5212;0.4788;0
0.5604;0.4396;0;0.0656;0.9344;0;0.5252;0.4748;0
0.5624;0.4376;0;0.0652;0.9348;0;0.5276;0.4724;0
0.5656;0.4344;0;0.064;0.936;0;0.5324;0.4676;0
0.5604;0.4396;0;0.0608;0.9392;0;0.5312;0.4688;0
0.5648;0.4352;0;0.0592;0.9408;0;0.5352;0.4648;0
0.5688;0.4312;0;0.056;0.944;0;0.5388;0.4612;0
0.5664;0.4336;0;0.0564;0.9436;0;0.5456;0.4544;0
0.5652;0.4348;0;0.056;0.944;0;0.5512;0.4488;0
0.5708;0.4292;0;0.0584;0.9416;0;0.554;0.446;0
0.5644;0.4356;0;0.0592;0.9408;0;0.5504;0.4496;0
0.5664;0.4336;0;0.0596;0.9404;0;0.5564;0.4436;0
0.5608;0.4392;0;0.0588;0.9412;0;0.5556;0.4444;0
0.5664;0.4336;0;0.0588;0.9412;0;0.5572;0.4428;0
0.5664;0.4336;0;0.0604;0.9396;0;0.558;0.442;0
0.56;0.44;0;0.0608;0.9392;0;0.5612;0.4388;0
0.5632;0.4368;0;0.0616;0.9384;0;0.5636;0.4364;0
0.5612;0.4388;0;0.0628;0.9372;0;0.5592;0.4408;0
0.5652;0.4348;0;0.0636;0.9364;0;0.5664;0.4336;0
0.5644;0.4356;0;0.0636;0.9364;0;0.5712;0.4288;0
0.5628;0.4372;0;0.062;0.938;0;0.5696;0.4304;0
0.5608;0.4392;0;0.0612;0.9388;0;0.5636;0.4364;0
0.5552;0.4448;0;0.0628;0.9372;0;0.5632;0.4368;0
0.5572;0.4428;0;0.0636;0.9364;0;0.5656;0.4344;0
0.5496;0.4504;0;0.0624;0.9376;0;0.5644;0.4356;0
0.5404;0.4596;0;0.0616;0.9384;0;0.5576;0.4424;0
0.544;0.456;0;0.0612;0.9388;0;0.556;0.444;0
0.5384;0.4616;0;0.0608;0.9392;0;0.554;0.446;0
0.5432;0.4568;0;0.0592;0.9408;0;0.548;0.452;0
0.5428;0.4572;0;0.0592;0.9408;0;0.5504;0.4496;0
0.5488;0.4512;0;0.0596;0.9404;0;0.5492;0.4508;0
0.5472;0.4528;0;0.0584;0.9416;0;0.5496;0.4504;0
0.5424;0.4576;0;0.0604;0.9396;0;0.5464;0.4536;0
0.538;0.462;0;0.0572;0.9428;0;0.5476;0.4524;0
0.5424;0.4576;0;0.0588;0.9412;0;0.5504;0.4496;0
0.548;0.452;0;0.0572;0.9428;0;0.5568;0.4432;0
0.5424;0.4576;0;0.0572;0.9428;0;0.5552;0.4448;0
0.5408;0.4592;0;0.0576;0.9424;0;0.5572;0.4428;0
0.5348;0.4652;0;0.06;0.94;0;0.562;0.438;0
0.5292;0.4708;0;0.0628;0.9372;0;0.556;0.444;0
0.52;0.48;0;0.0632;0.9368;0;0.5564;0.4436;0
0.5256;0.4744;0;0.0672;0.9328;0;0.554;0.446;0
0.5296;0.4704;0;0.068;0.932;0;0.5484;0.4516;0
0.532;0.468;0;0.0684;0.9316;0;0.5472;0.4528;0
0.5368;0.4632;0;0.0676;0.9324;0;0.5428;0.4572;0
0.5264;0.4736;0;0.0684;0.9316;0;0.55;0.45;0
0.5228;0.4772;0;0.0664;0.9336;0;0.546;0.454;0
0.516;0.484;0;0.0672;0.9328;0;0.5444;0.4556;0
0.5124;0.4876;0;0.068;0.932;0;0.5412;0.4588;0
0.518;0.482;0;0.0696;0.9304;0;0.5488;0.4512;0
0.5168;0.4832;0;0.0716;0.9284;0;0.5484;0.4516;0
0.5116;0.4884;0;0.0724;0.9276;0;0.554;0.446;0
0.5068;0.4932;0;0.0724;0.9276;0;0.556;0.444;0
0.5096;0.4904;0;0.0716;0.9284;0;0.5536;0.4464;0
0.5028;0.4972;0;0.0712;0.9288;0;0.5536;0.4464;0
0.4992;0.5008;0;0.0708;0.9292;0;0.5536;0.4464;0
0.502;0.498;0;0.07;0.93;0;0.546;0.454;0
0.498;0.502;0;0.0692;0.9308;0;0.552;0.448;0
0.4996;0.5004;0;0.0712;0.9288;0;0.5532;0.4468;0
0.496;0.504;0;0.0724;0.9276;0;0.5536;0.4464;0
0.5044;0.4956;0;0.0716;0.9284;0;0.5496;0.4504;0
0.506;0.494;0;0.07;0.93;0;0.5552;0.4448;0
0.5108;0.4892;0;0.0692;0.9308;0;0.5536;0.4464;0
0.51;0.49;0;0.0696;0.9304;0;0.5568;0.4432;0
0.5072;0.4928;0;0.0692;0.9308;0;0.5668;0.4332;0
0.5028;0.4972;0;0.0664;0.9336;0;0.5632;0.4368;0
0.5032;0.4968;0;0.0636;0.9364;0;0.5708;0.4292;0
0.5024;0.4976;0;0.0628;0.9372;0;0.5764;0.4236;0
0.5012;0.4988;0;0.0628;0.9372;0;0.5712;0.4288;0
0.504;0.496;0;0.0624;0.9376;0;0.5768;0.4232;0
0.5068;0.4932;0;0.0628;0.9372;0;0.5744;0.4256;0
0.5052;0.4948;0;0.0644;0.9356;0;0.58;0.42;0
0.5024;0.4976;0;0.0644;0.9356;0;0.5792;0.4208;0
0.5004;0.4996;0;0.0644;0.9356;0;0.5732;0.4268;0
0.4968;0.5032;0;0.0628;0.9372;0;0.5752;0.4248;0
0.5008;0.4992;0;0.0612;0.9388;0;0.5672;0.4328;0
0.5096;0.4904;0;0.06;0.94;0;0.5668;0.4332;0
0.5156;0.4844;0;0.0608;0.9392;0;0.5628;0.4372;0
0.5132;0.4868;0;0.0608;0.9392;0;0.5644;0.4356;0
0.5112;0.4888;0;0.0612;0.9388;0;0.558;0.442;0
0.5064;0.4936;0;0.0616;0.9384;0;0.5572;0.4428;0
0.5012;0.4988;0;0.0612;0.9388;0;0.5624;0.4376;0
0.4996;0.5004;0;0.0628;0.9372;0;0.5612;0.4388;0
0.4912;0.5088;0;0.0644;0.9356;0;0.56;0.44;0
0.494;0.506;0;0.0636;0.9364;0;0.5568;0.4432;0
0.4936;0.5064;0;0.0636;0.9364;0;0.5568;0.4432;0
0.4908;0.5092;0;0.0648;0.9352;0;0.5552;0.4448;0
0.4908;0.5092;0;0.0628;0.9372;0;0.5604;0.4396;0
0.4964;0.5036;0;0.064;0.936;0;0.5596;0.4404;0
0.4996;0.5004;0;0.0632;0.9368;0;0.5572;0.4428;0
0.4952;0.5048;0;0.0624;0.9376;0;0.5532;0.4468;0
0.5008;0.4992;0;0.0644;0.9356;0;0.5484;0.4516;0
0.5056;0.4944;0;0.064;0.936;0;0.5504;0.4496;0
0.506;0.494;0;0.0628;0.9372;0;0.5492;0.4508;0
0.5008;0.4992;0;0.0644;0.9356;0;0.5544;0.4456;0
0.5008;0.4992;0;0.0656;0.9344;0;0.5516;0.4484;0
0.498;0.502;0;0.0664;0.9336;0;0.5464;0.4536;0
0.4964;0.5036;0;0.0672;0.9328;0;0.5448;0.4552;0
0.4932;0.5068;0;0.0664;0.9336;0;0.5464;0.4536;0
0.4964;0.5036;0;0.0636;0.9364;0;0.5456;0.4544;0
0.4944;0.5056;0;0.062;0.938;0;0.5452;0.4548;0
0.4916;0.5084;0;0.0632;0.9368;0;0.5432;0.4568;0
0.496;0.504;0;0.064;0.936;0;0.5384;0.4616;0
0.4944;0.5056;0;0.0632;0.9368;0;0.5412;0.4588;0
0.4956;0.5044;0;0.064;0.936;0;0.5464;0.4536;0
0.492;0.508;0;0.0676;0.9324;0;0.5408;0.4592;0
0.4932;0.5068;0;0.066;0.934;0;0.5392;0.4608;0
0.494;0.506;0;0.0676;0.9324;0;0.5404;0.4596;0
0.4888;0.5112;0;0.0672;0.9328;0;0.5368;0.4632;0
0.4912;0.5088;0;0.0668;0.9332;0;0.5356;0.4644;0
