time;normal;hipox;imm;tum
683;170;2;13;0
684;170;2;13;0
685;170;2;13;0
686;170;2;13;0
687;170;2;13;0
688;170;2;13;0
689;170;2;13;0
690;170;2;13;0
691;170;2;13;0
692;170;2;13;0
693;170;2;13;0
694;170;2;13;0
695;170;2;13;0
696;170;2;13;0
697;170;2;13;0
698;170;2;13;0
699;170;2;13;0
700;170;2;13;0
701;170;2;13;0
702;170;2;13;0
703;170;2;13;0
704;170;2;13;0
705;170;2;13;0
706;170;2;13;0
707;170;2;13;0
708;170;2;13;0
709;170;2;13;0
710;170;2;13;0
711;170;2;13;0
712;170;2;13;0
713;170;2;13;0
714;170;2;13;0
715;170;2;13;0
716;170;2;13;0
717;170;2;13;0
718;170;2;13;0
719;170;2;13;0
720;170;2;13;0
721;170;2;13;0
722;170;2;13;0
723;170;2;13;0
724;170;2;13;0
725;170;2;12;0
726;170;2;12;0
727;170;2;12;0
728;170;2;12;0
729;170;2;12;0
730;170;2;12;0
731;170;2;12;0
732;170;2;12;0
733;170;2;12;0
734;170;2;12;0
735;170;2;12;0
736;170;2;12;0
737;170;2;12;0
738;170;2;12;0
739;170;2;12;0
740;170;2;12;0
741;170;2;12;0
742;170;2;12;0
743;170;2;12;0
744;170;2;12;0
745;170;2;12;0
746;170;2;12;0
747;171;2;12;0
748;171;2;12;0
749;171;2;12;0
750;171;2;12;0
751;171;2;12;0
752;171;2;12;0
753;171;1;12;0
754;171;1;12;0
755;171;1;12;0
756;171;1;12;0
757;171;1;12;0
758;171;1;12;0
759;171;1;12;0
760;171;1;12;0
761;171;1;12;0
762;171;1;12;0
763;171;1;12;0
764;171;1;12;0
765;171;1;12;0
766;171;1;12;0
767;171;1;12;0
768;171;1;12;0
769;171;1;12;0
770;171;1;12;0
771;171;1;12;0
772;171;1;12;0
773;171;1;12;0
774;171;1;12;0
775;171;1;12;0
776;171;1;12;0
777;171;1;12;0
778;171;1;12;0
779;171;1;12;0
780;171;1;12;0
781;171;1;12;0
782;171;1;12;0
783;171;1;12;0
784;171;1;12;0
785;171;1;12;0
786;171;1;12;0
787;171;1;12;0
788;171;1;11;0
789;171;1;11;0
790;171;1;11;0
791;171;1;11;0
792;171;1;11;0
793;171;1;11;0
794;171;1;11;0
795;171;1;11;0
796;171;1;11;0
797;171;1;11;0
798;171;1;11;0
799;171;1;11;0
800;171;1;11;0
801;171;1;11;0
802;171;1;11;0
803;171;1;11;0
804;171;1;11;0
805;171;1;11;0
806;171;1;11;0
807;171;1;11;0
808;170;1;11;0
809;170;1;11;0
810;170;1;11;0
811;170;1;11;0
812;170;1;11;0
813;170;1;11;0
814;170;1;11;0
815;170;1;11;0
816;170;1;11;0
817;170;1;11;0
818;170;1;11;0
819;170;1;11;0
820;170;1;11;0
821;170;1;11;0
822;170;1;11;0
823;170;1;11;0
824;170;1;11;0
825;170;1;11;0
826;170;1;11;0
827;170;1;11;0
828;170;1;11;0
829;170;1;11;0
830;170;1;11;0
831;170;1;11;0
832;170;1;11;0
833;170;1;11;0
834;170;1;11;0
835;170;1;11;0
836;170;1;11;0
837;170;1;11;0
838;170;1;11;0
839;170;1;11;0
840;170;1;11;0
841;170;1;11;0
842;170;1;11;0
843;170;1;11;0
844;170;1;11;0
845;170;1;11;0
846;170;1;11;0
847;170;1;11;0
848;170;1;11;0
849;170;1;11;0
850;170;1;11;0
851;170;1;11;0
852;170;1;11;0
853;170;1;11;0
854;170;1;11;0
855;170;1;11;0
856;170;1;11;0
857;170;1;11;0
858;170;1;11;0
859;170;1;11;0
860;170;1;11;0
861;170;1;11;0
862;170;1;11;0
863;170;1;10;0
864;170;1;10;0
865;170;1;10;0
866;170;1;10;0
867;170;1;10;0
868;170;1;10;0
869;170;1;10;0
870;170;1;10;0
871;170;1;10;0
872;170;1;10;0
